timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/11/21 03:29:31.377, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.387, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.397, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.408, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.418, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.428, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.438, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.448, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.458, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.468, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.478, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.489, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.499, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.509, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.519, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.529, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.539, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.549, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.559, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.570, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.580, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.590, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.600, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.610, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.620, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.630, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.640, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.651, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.661, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.671, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.681, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.691, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.701, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.711, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.721, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.732, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.742, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.752, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.762, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.772, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.782, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.792, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.802, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.813, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.823, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.833, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.843, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.853, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.863, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.873, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.883, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.894, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.904, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.914, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.924, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.934, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.944, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.955, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.965, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.975, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.985, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.995, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.005, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.016, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.026, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.036, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.046, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.056, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.066, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.076, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.086, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.096, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.106, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.117, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.127, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.137, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.147, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.157, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.167, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.177, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.187, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.197, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:32.207, 0, 40960, 621, 3005, 37332
